 ispLEVER Classic 1.7.00.05.28.13 Fitter Report File 
Project Name,untitled
Project Path,U:\ECE 270\lab 11\step3
Project Fitted on,Fri Apr 07 11:23:44 2017

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name,PG
A1,TDI,-,,,,,,
B1,I_O,0,A8,,,,,
B2,I_O,0,A10,,,,,
B3,I_O,0,A11,,,,,
D4,GNDIO0,-,,,,,,
C1,I_O,0,A12,,,,,
C3,VCCIO0,-,,,,,,
C2,I_O,0,B15,,,,,
D1,I_O,0,B14,,,,,
D2,I_O,0,B13,,,,,
D3,I_O,0,B12,,,,,
E1,I_O,0,B11,,,,,
E2,I_O,0,B10,,,,,
E3,I_O,0,B9,,,,,
F1,I_O,0,B8,,,,,
F2,TCK,-,,,,,,
E4,VCC,-,,,,,,
H2,I_O,0,B6,,,,,
H1,I_O,0,B5,,,,,
G1,I_O,0,B4,,,,,
F3,VCCIO0,-,,,,,,
G2,I_O,0,B3,,,,,
G3,I_O,0,B2,,,,,
H3,I_O,0,B0,,,,,
G4,INCLK1,0,,,,,,
F4,INCLK2,1,,,,,,
H4,I_O,1,C0,,,,,
H5,I_O,1,C1,,,,,
G5,I_O,1,C2,,,,,
H6,I_O,1,C4,,,,,
H7,I_O,1,C5,,,,,
H8,I_O,1,C6,,,,,
G8,TMS,-,,,,,,
G7,I_O,1,C8,,,,,
G6,I_O,1,C10,,,,,
F8,I_O,1,C11,,,,,
E5,GNDIO1,-,,,,,,
F7,I_O,1,C12,,,,,
F6,VCCIO1,-,,,,,,
F5,I_O,1,D15,,,,,
E8,I_O,1,D14,,,,,
E7,I_O,1,D13,,,,,
E6,I_O,1,D12,,,,,
D8,I_O,1,D11,,,,,
D7,I_O,1,D10,,,,,
D6,I_O,1,D9,,,,,
C8,I_O,1,D8,,,,,
C7,TDO,-,,,,,,
D5,VCC,-,,,,,,
B8,I_O,1,D7,,,,,
A8,I_O,1,D6,,,,,
B7,I_O,1,D5,,,,,
A7,I_O,1,D4,,,,,
A6,VCCIO1,-,,,,,,
B6,I_O,1,D3,,,,,
C6,I_O,1,D2,,,,,
A5,I_O/OE,1,D0,,,,,
B5,INCLK3,1,,,,,,
C5,INCLK0,0,,,,,,
A4,I_O/OE,0,A0,,,,,
B4,I_O,0,A1,,,,,
C4,I_O,0,A2,,,,,
A3,I_O,0,A4,,,,,
A2,I_O,0,A6,,,,,
