Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
MOD: delay(500 500), type(tTMRRSTO), from(I1.TIMERRES), to(I1.TIMEROUT)
MOD: delay(900 900), type(tOSCEN+tOSCOD), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(400 400), type(tTMRRR), from(I1.TIMERRES), to(I1.OSCOUT)
CHK: delay(300 300), type(tTMRRSTPW), from(I1.TIMERRES), to(I1.TIMERRES)
CHK: delay(500 500), type(tOSCH), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(500 500), type(tOSCSU), from(I1.DYNOSCDIS), to(I1.OSCOUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED0.OUT), to(LED0.PAD)
MOD: delay(45 45), type(tPDi), from(LED0 ), to(LED0.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED1.OUT), to(LED1.PAD)
MOD: delay(45 45), type(tPDi), from(LED1 ), to(LED1.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED2.OUT), to(LED2.PAD)
MOD: delay(45 45), type(tPDi), from(LED2 ), to(LED2.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED3.OUT), to(LED3.PAD)
MOD: delay(45 45), type(tPDi), from(LED3 ), to(LED3.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED4.OUT), to(LED4.PAD)
MOD: delay(45 45), type(tPDi), from(LED4 ), to(LED4.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED5.OUT), to(LED5.PAD)
MOD: delay(45 45), type(tPDi), from(LED5 ), to(LED5.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED6.OUT), to(LED6.PAD)
MOD: delay(45 45), type(tPDi), from(LED6 ), to(LED6.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED7.OUT), to(LED7.PAD)
MOD: delay(45 45), type(tPDi), from(LED7 ), to(LED7.OUT)
MOD: delay(95 95), type(tSRi), from(LED8.AR ), to(LED8.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED8.Q ), to(LED8.PAD)
MOD: delay(45 45), type(tCOi), from(LED8.C ), to(LED8.Q )
CHK: delay(0 0), type(tSRW), from(LED8.AR ), to(LED8.AR )
CHK: delay(180 180), type(tSRR), from(LED8.AR ), to(LED8.C )
CHK: delay(0 0), type(tWLA), from(LED8.C ), to(LED8.C )
CHK: delay(0 0), type(tWHA), from(LED8.C ), to(LED8.C )
CHK: delay(200 200), type(tH), from(LED8.D ), to(LED8.C )
CHK: delay(200 200), type(tS_PT), from(LED8.D ), to(LED8.C )
MOD: delay(95 95), type(tSRi), from(LED9.AP ), to(LED9.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED9.Q ), to(LED9.PAD)
MOD: delay(45 45), type(tCOi), from(LED9.C ), to(LED9.Q )
CHK: delay(0 0), type(tSRW), from(LED9.AP ), to(LED9.AP )
CHK: delay(180 180), type(tSRR), from(LED9.AP ), to(LED9.C )
CHK: delay(0 0), type(tWLA), from(LED9.C ), to(LED9.C )
CHK: delay(0 0), type(tWHA), from(LED9.C ), to(LED9.C )
CHK: delay(200 200), type(tH), from(LED9.D.X2 ), to(LED9.C )
CHK: delay(200 200), type(tS_PT), from(LED9.D.X2 ), to(LED9.C )
CHK: delay(200 200), type(tH), from(LED9.D.X1 ), to(LED9.C )
CHK: delay(200 200), type(tS_PT), from(LED9.D.X1 ), to(LED9.C )
MOD: delay(95 95), type(tSRi), from(LED10.AP ), to(LED10.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED10.Q ), to(LED10.PAD)
MOD: delay(45 45), type(tCOi), from(LED10.C ), to(LED10.Q )
CHK: delay(0 0), type(tSRW), from(LED10.AP ), to(LED10.AP )
CHK: delay(180 180), type(tSRR), from(LED10.AP ), to(LED10.C )
