Timer started ...
MOD: delay(95 95), type(tSRi), from(LED0.AP ), to(LED0.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED0.Q ), to(LED0.PAD)
MOD: delay(45 45), type(tCOi), from(LED0.C ), to(LED0.Q )
CHK: delay(0 0), type(tSRW), from(LED0.AP ), to(LED0.AP )
CHK: delay(180 180), type(tSRR), from(LED0.AP ), to(LED0.C )
CHK: delay(0 0), type(tWLA), from(LED0.C ), to(LED0.C )
CHK: delay(0 0), type(tWHA), from(LED0.C ), to(LED0.C )
CHK: delay(200 200), type(tH), from(LED0.D ), to(LED0.C )
CHK: delay(200 200), type(tS_PT), from(LED0.D ), to(LED0.C )
MOD: delay(95 95), type(tSRi), from(LED1.AP ), to(LED1.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED1.Q ), to(LED1.PAD)
MOD: delay(45 45), type(tCOi), from(LED1.C ), to(LED1.Q )
CHK: delay(0 0), type(tSRW), from(LED1.AP ), to(LED1.AP )
CHK: delay(180 180), type(tSRR), from(LED1.AP ), to(LED1.C )
CHK: delay(0 0), type(tWLA), from(LED1.C ), to(LED1.C )
CHK: delay(0 0), type(tWHA), from(LED1.C ), to(LED1.C )
CHK: delay(200 200), type(tH), from(LED1.D ), to(LED1.C )
CHK: delay(200 200), type(tS_PT), from(LED1.D ), to(LED1.C )
MOD: delay(95 95), type(tSRi), from(LED2.AP ), to(LED2.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED2.Q ), to(LED2.PAD)
MOD: delay(45 45), type(tCOi), from(LED2.C ), to(LED2.Q )
CHK: delay(0 0), type(tSRW), from(LED2.AP ), to(LED2.AP )
CHK: delay(180 180), type(tSRR), from(LED2.AP ), to(LED2.C )
CHK: delay(0 0), type(tWLA), from(LED2.C ), to(LED2.C )
CHK: delay(0 0), type(tWHA), from(LED2.C ), to(LED2.C )
CHK: delay(200 200), type(tH), from(LED2.D ), to(LED2.C )
CHK: delay(200 200), type(tS_PT), from(LED2.D ), to(LED2.C )
